OrdreID,ProduktID,Antal
250,12,10
369,16,3
298,10,8
356,18,8
21,20,4
444,9,8
292,7,10
220,3,4
247,16,5
454,10,5
271,1,1
140,3,8
133,19,10
298,1,6
91,10,1
161,14,1
311,6,2
191,18,4
468,4,2
334,10,1
227,2,6
108,17,7
313,19,1
57,5,4
101,6,6
65,20,6
209,20,7
222,7,5
355,18,8
50,4,3
116,16,6
385,11,4
134,16,6
220,10,1
141,14,1
203,19,10
48,9,6
304,10,1
455,11,6
352,3,5
78,17,2
43,6,3
11,11,8
148,16,3
269,17,9
398,7,7
154,5,2
12,16,8
163,1,5
451,20,9
228,18,10
231,5,4
110,13,5
330,6,1
128,8,10
243,9,9
55,19,7
393,3,2
179,3,8
39,19,7
364,1,5
182,6,4
1,19,3
226,7,3
150,10,7
271,13,3
221,17,4
449,4,3
128,3,4
447,1,9
4,12,6
418,16,3
99,1,9
37,17,6
396,6,10
51,16,8
282,14,4
406,6,7
384,5,10
2,14,10
286,11,9
163,13,6
337,2,4
269,8,6
310,11,5
145,20,8
30,18,2
106,6,4
238,16,10
40,6,8
218,18,10
323,11,3
278,1,10
359,10,8
240,6,9
375,18,7
234,12,8
380,13,3
176,1,1
490,14,5
32,10,7
154,7,10
412,20,4
304,7,2
314,17,6
247,15,2
258,9,4
151,6,2
388,15,9
432,11,4
482,12,10
403,4,10
292,15,9
286,2,7
308,19,3
463,18,3
430,1,4
189,9,6
405,17,6
270,3,7
87,14,8
383,12,2
409,5,10
419,12,10
99,15,4
387,18,2
480,19,7
432,17,7
94,20,7
132,14,5
113,13,10
155,16,3
482,10,2
56,16,4
452,5,5
444,8,9
393,16,7
165,14,4
297,15,4
319,17,3
332,8,3
212,20,6
433,8,4
460,18,10
230,4,3
121,16,7
181,3,2
378,12,4
446,5,8
108,12,4
342,15,6
168,10,7
271,7,6
220,10,5
16,20,10
386,7,2
268,13,3
404,2,2
10,1,9
445,20,6
299,19,3
261,6,1
327,18,2
442,6,7
298,17,8
208,12,9
71,20,3
37,20,7
413,12,9
197,1,1
275,4,1
463,20,2
221,9,5
228,5,9
264,6,1
185,6,1
327,1,8
466,17,10
393,12,6
277,13,1
69,10,9
461,16,3
271,4,8
430,8,9
68,2,10
220,19,1
18,11,2
94,9,8
145,2,7
193,12,3
421,9,10
20,6,7
287,15,5
10,13,7
389,5,1
321,5,3
309,3,1
451,6,6
493,12,2
495,16,8
132,18,5
67,8,6
179,13,9
60,3,10
422,18,7
467,4,7
234,6,10
348,4,8
295,13,3
105,11,4
212,7,5
457,10,6
273,11,4
267,13,3
119,3,5
499,1,7
185,11,2
2,10,5
337,18,1
381,7,9
144,5,5
358,1,8
341,1,7
97,19,1
186,10,5
442,4,7
120,7,4
19,6,5
107,15,3
132,2,6
148,17,4
487,13,1
8,3,7
498,8,2
384,15,5
62,19,2
98,13,9
341,20,8
38,9,3
6,20,8
401,11,5
353,1,1
408,2,9
41,14,10
105,3,2
161,1,2
394,8,5
344,14,7
311,16,8
403,9,9
421,3,7
166,19,10
424,20,3
358,16,7
350,11,7
482,16,1
80,13,1
282,8,6
18,1,1
92,10,6
164,13,6
265,17,7
419,18,4
401,10,10
