KundeID,MedarbejderID,År,Antal timer
K1000,M107,2021,20
K1000,M116,2021,45
K1001,M103,2021,12
K1001,M106,2021,40
K1002,M100,2021,35
K1002,M110,2021,44
K1002,M105,2021,43
K1003,M104,2021,46
K1003,M119,2021,46
K1004,M104,2021,37
K1004,M103,2021,34
K1005,M112,2021,40
K1005,M104,2021,31
K1006,M106,2021,27
K1006,M115,2021,31
K1007,M102,2021,19
K1007,M113,2021,34
K1008,M113,2021,6
K1008,M109,2021,22
K1008,M101,2021,28
K1008,M118,2021,41
K1008,M105,2021,39
K1009,M110,2021,9
K1009,M105,2021,27
K1010,M115,2021,30
K1010,M119,2021,9
K1010,M100,2021,11
K1010,M114,2021,10
K1011,M100,2021,11
K1011,M118,2021,26
K1011,M105,2021,30
K1011,M115,2021,39
K1012,M105,2021,19
K1012,M106,2021,19
K1013,M102,2021,36
K1013,M110,2021,23
K1013,M107,2021,17
K1013,M109,2021,22
K1014,M112,2021,10
K1014,M114,2021,21
K1014,M100,2021,11
K1015,M103,2021,37
K1015,M107,2021,23
K1016,M100,2021,30
K1016,M110,2021,6
K1016,M117,2021,26
K1016,M114,2021,9
K1016,M101,2021,30
K1017,M115,2021,9
K1017,M118,2021,18
K1017,M119,2021,25
K1017,M105,2021,22
K1017,M100,2021,45
K1018,M111,2021,16
K1018,M101,2021,41
K1018,M103,2021,21
K1019,M116,2021,27
K1019,M100,2021,11
K1019,M103,2021,37
K1019,M115,2021,31
K1020,M102,2021,37
K1020,M104,2021,27
K1021,M115,2021,7
K1021,M107,2021,20
K1021,M108,2021,8
K1021,M118,2021,31
K1022,M109,2021,25
K1022,M111,2021,14
K1022,M102,2021,16
K1022,M107,2021,32
K1022,M113,2021,12
K1023,M110,2021,10
K1023,M104,2021,44
K1023,M113,2021,17
K1023,M114,2021,36
K1024,M105,2021,34
K1024,M102,2021,28
K1024,M119,2021,26
K1024,M110,2021,37
K1025,M115,2021,41
K1025,M107,2021,26
K1026,M118,2021,43
K1026,M101,2021,30
K1026,M113,2021,5
K1026,M106,2021,12
K1027,M110,2021,25
K1027,M103,2021,10
K1028,M100,2021,24
