KundeID,Firmanavn,Adresse,Land
1,Friis & Søn ApS,"Kaprifolie Allé 7
8421 Marstal",Denmark
2,Nielsen & Søn A/S,"Hjørringvej 473
3233 Herlufmagle",Denmark
3,Kristiansen & Larsen ApS,"Ilfordgade 20
3600 Ryomgård",Denmark
4,Søndergaard & Søn ApS,"Tryggevældevej 24
7536 Kirke Hyllinge",Denmark
5,Hermansen A/S,"Nordre Fasangade 36
4244 Tranekær",Denmark
6,Bruun & Søn A/S,"Hannovergade 5
7092 Roslev",Denmark
7,Carlsen & Jespersen ApS,"Ny Vestervej 23
7728 Hvalsø",Denmark
8,Clausen & Søn ApS,"Valløvej 8
9269 Dalby",Denmark
9,Nilsson ApS,"Sølvvej 3
9466 Greve Strand",Denmark
10,Thorsen & Søn ApS,"Sigbritsgade 389
7213 Fakse",Denmark
11,Carlsen & Søn A/S,"Tovelillevej 422
5278 Hjortshøj",Denmark
12,Knudsen & Søn A/S,"Brolægger Allé 264
4035 Smørum",Denmark
13,Olsen & Jacobsen ApS,"Larsbjørnsvej 316
8923 Frederiksberg",Denmark
14,Christiansen & Nilsson ApS,"Sundholmsgade 3
6973 Tårs",Denmark
15,Krogh & Vestergaard A/S,"Sakskøbing Allé 2
4802 Stoholm",Denmark
16,Friis & Søn A/S,"Skånestræde 940
5423 Blommenslyst",Denmark
17,Schou & Knudsen ApS,"Vanløse Bystræde 7
2677 Padborg",Denmark
18,Nørgaard ApS,"Rødelands Allé 698
6141 Stubbekøbing",Denmark
19,Jepsen & Søn ApS,"Slotsholms Allé 9
5029 Bogø By",Denmark
20,Sørensen A/S,"Blåbærvej 487
6806 Vejstrup",Denmark
21,Berg & Søn A/S,"Nokken Hovednvej 959
7699 Tårs",Denmark
22,Jacobsen & Kristoffersen ApS,"Tølløsegade 50
4859 Mern",Denmark
23,Nørgaard & Søn ApS,"Ruggade 166
5174 Tilst",Denmark
24,Jacobsen & Johnsen A/S,"Lautrupsvej 2
3378 Lem",Denmark
25,Vestergaard & Søn A/S,"Folke Bernadottes Allé 501
6278 Vonge",Denmark
26,Mortensen & Schmidt A/S,"Grækenlandsvej 676
1724 Gredstedbro",Denmark
27,Simonsen A/S,"Bartholinsvej 9
3502 Pandrup",Denmark
28,Sørensen & Søn A/S,"Sønderviggade 363
5579 Jerslev",Denmark
29,Frandsen & Nissen A/S,"Overn Neden Vandetvej 129
5110 Brønshøj",Denmark
30,Karlsen & Sørensen ApS,"Clausholm Allé 9
9409 Ryslinge",Denmark
31,Kristensen A/S,"Godthåbsstræde 27
6638 Skødstrup",Denmark
32,Johnsen & Jespersen A/S,"Rosenvængets Hovedstræde 95
2982 Fakse",Denmark
33,Iversen A/S,"Åløkkegade 574
8159 Vonge",Denmark
34,Bech ApS,"Hannovergade 704
1089 Stakroge",Denmark
35,Kristensen A/S,"Haraldsvej 56
4863 Jyllinge",Denmark
36,Laursen A/S,"Arnesvej 915
6087 Årre",Denmark
37,Henriksen & Jepsen ApS,"Følfodgade 114
9953 Vils",Denmark
38,Larsen ApS,"Kongedybsgade 4
3848 Nykøbing Sj",Denmark
39,Bach & Madsen A/S,"Stefansgade 224
5625 Ulfborg",Denmark
40,Jacobsen & Søn ApS,"Slotsholmsvej 683
9135 Lille Skensved",Denmark
41,Jessen & Søn A/S,"Reventlowsstræde 211
1655 Vonge",Denmark
42,Dahl & Mathiesen A/S,"Ny Adelgade 50
1509 Nyrup",Denmark
43,Hermansen & Søn ApS,"Stenrosevej 602
3727 Mørkøv",Denmark
44,Schultz & Lauridsen A/S,"Katholmgade 8
3215 Rødvig Stevns",Denmark
45,Mathiesen A/S,"Bangsbogade 867
3621 Østbirk",Denmark
46,Steffensen A/S,"Nybovej 19
7434 Kolind",Denmark
47,Jessen & Søn A/S,"Hans Bogbinders Allé 2
1126 Vesterborg",Denmark
48,Lind & Berg ApS,"Malta Allé 8
6079 Glostrup",Denmark
49,Jensen & Søn ApS,"Toftegårdsvej 794
3648 Århus",Denmark
50,Henriksen A/S,"Hovmål Allé 72
5234 Tistrup",Denmark
51,Sørensen & Jakobsen A/S,"Irlandsgade 828
1128 Gedsted",Denmark
52,Lassen & Mortensen ApS,"Fengersgade 620
3396 Haderup",Denmark
53,Henriksen & Søn ApS,"Hellebæk Allé 94
4789 Ørsted",Denmark
54,Iversen & Eriksen ApS,"Højsagergade 675
1490 Hurup Thy",Denmark
55,Jakobsen & Søn ApS,"Sylviavej 461
2555 Støvring",Denmark
56,Schmidt & Søn A/S,"Klosterrisgade 76
2999 Hjortshøj",Denmark
57,Ravn & Møller A/S,"Landehjælpgade 4
8179 Rørvig",Denmark
58,Kjeldsen & Søn ApS,"Tagensvej 15
5148 Svinninge",Denmark
59,Hermansen ApS,"Soltoftegade 6
7421 Måløv",Denmark
60,Kjeldsen & Søn ApS,"Lembergvej 4
5269 Rønnede",Denmark
61,Schmidt & Søn A/S,"Herbergenvej 30
3448 Tranbjerg J",Denmark
62,Jakobsen ApS,"Bækkeskovvej 84
4943 Skagen",Denmark
63,Østergaard ApS,"Serbiensvej 9
8168 Store Heddinge",Denmark
64,Møller & Søn A/S,"Bordeauxgade 374
1885 Tappernøje",Denmark
65,Lassen & Søn A/S,"Langelinievej 74
6234 Roslev",Denmark
66,Rasmussen & Mogensen A/S,"Femkløvervej 1
2426 Gadbjerg",Denmark
67,Holm & Rasmussen A/S,"Merløsegade 48
1542 Vordingborg",Denmark
68,Kjær & Søn ApS,"Fussingsvej 300
9704 Glumsø",Denmark
69,Svendsen & Søn A/S,"Hveensvej 8
9649 Rørvig",Denmark
70,Andersen A/S,"Grønløkkestræde 9
9295 Farum",Denmark
71,Ravn & Søn A/S,"Fremadsvej 4
8592 Lundby",Denmark
72,Kristensen & Søn A/S,"Borthigs Allé 299
5429 Hjerm",Denmark
73,Steffensen & Jeppesen ApS,"Klaipedagade 630
6600 Munke Bjergby",Denmark
74,Paulsen ApS,"Langhusvej 387
1619 Føllenslev",Denmark
75,Koch & Søn A/S,"Frilandsvej 1
7926 Vester Skerninge",Denmark
76,Pedersen A/S,"Sankelmarksvej 88
2737 Farum",Denmark
77,Kjeldsen & Søn A/S,"Tullinsgade 714
1665 Vejstrup",Denmark
78,Koch & Søn A/S,"Fyrbøder Allé 45
4731 Bylderup-Bov",Denmark
79,Andersen A/S,"Ingerslevsgade 57
1526 Havdrup",Denmark
80,Jeppesen & Laursen A/S,"Borneovej 9
9158 Aars",Denmark
81,Kristoffersen & Østergaard A/S,"Bogensevej 800
9180 Ruds Vedby",Denmark
82,Mathiasen ApS,"Dybendalsvej 94
5211 Bredsten",Denmark
83,Jespersen ApS,"Vognborgvej 217
9747 Christiansfeld",Denmark
84,Nørgaard & Søn ApS,"Hjelms Allé 882
7939 Fårvang",Denmark
85,Christoffersen & Søn ApS,"Elstargade 44
1394 Spjald",Denmark
86,Friis & Christiansen A/S,"Jægersprisvej 4
1371 Holsted",Denmark
87,Carlsen & Søn A/S,"Tovelillevej 422
5278 Hjortshøj",Denmark
88,Bertelsen ApS,"Vendsysselgade 775
5911 Støvring",Denmark
89,Winther & Jessen A/S,"Dalslandsgade 8
9977 Hejnsvig",Denmark
90,Steffensen & Søn ApS,"Bjergmarksstræde 241
8026 Tappernøje",Denmark
91,Schultz & Søn A/S,"Sofievej 6
1356 Gislinge",Denmark
92,Dam & Søn ApS,"Lille Istedstræde 434
6684 Slagelse",Denmark
93,Andresen & Søn A/S,"Vendsysselgade 719
8046 Hadsten",Denmark
94,Jessen & Søn A/S,"Magdelonevej 713
6171 Bækmarksbro",Denmark
95,Christoffersen & Søn A/S,"Tjørnevej 9
7302 Blommenslyst",Denmark
96,Christensen & Søn ApS,"Skånevej 7
8148 Dronningmølle",Denmark
97,Mortensen A/S,"Hørtoftegade 7
8155 Aalestrup",Denmark
98,Mathiasen & Poulsen ApS,"Dige Allé 91
4311 Bramming",Denmark
99,Søndergaard ApS,"Uralvej 535
2836 Sorring",Denmark
100,Danielsen & Frederiksen ApS,"Støvnæsvej 1
9519 Løgstør",Denmark
101,Christiansen & Søn A/S,"Svalehalegade 60
4923 Aars",Denmark
102,Brandt A/S,"Mælkeenvej 4
2367 Gudme",Denmark
103,Schmidt & Jacobsen ApS,"Hobrogade 76
8282 Kalundborg",Denmark
104,Thygesen A/S,"Bogenæsstræde 86
7495 Galten",Denmark
105,Simonsen ApS,"Snertingevej 534
9039 Tistrup",Denmark
106,Bech & Søn ApS,"Ny Kongens Allé 716
2438 Egtved",Denmark
107,Madsen A/S,"Vognborgvej 21
6189 Broby",Denmark
108,Poulsen ApS,"Østersø Allé 970
8880 Esbjerg",Denmark
109,Henriksen & Petersen ApS,"Ansgarsvej 368
4106 Gedser",Denmark
110,Andresen ApS,"Landehjælpstræde 457
9859 Lille Skensved",Denmark
111,Holm & Dam ApS,"Bodilsgade 7
3094 Oure",Denmark
112,Dahl & Søn ApS,"Ejderstedvej 414
6135 Haarby",Denmark
113,Pedersen & Søn A/S,"Teglholm Tvær Allé 72
7292 Hanstholm",Denmark
114,Clausen & Søn ApS,"Brammingestræde 8
3310 Dronninglund",Denmark
115,Møller & Christensen ApS,"Grønrisvej 49
3132 Hampen",Denmark
116,Mikkelsen ApS,"Æbeløvej 34
7691 Aulum",Denmark
117,Madsen & Søn A/S,"Rismosevej 38
9778 Asnæs",Denmark
118,Johnsen & Schmidt A/S,"Mørkhøjstræde 4
9295 Helsingør",Denmark
119,Laursen ApS,"Lombardivej 768
2441 Løgstrup",Denmark
120,Møller & Søn A/S,"Aarestrupsgade 7
4168 Borup",Denmark
121,Thomsen & Søn ApS,"Grækenlandsvej 679
9400 Gedser",Denmark
122,Schultz A/S,"Risbyholmvej 410
8252 Gjerlev",Denmark
123,Bruun & Iversen ApS,"Uralgade 234
3903 Kalundborg",Denmark
124,Bach & Møller A/S,"Sallingstræde 1
2160 Låsby",Denmark
125,Poulsen & Søn ApS,"P.D. Løvsgade 53
3215 Ryslinge",Denmark
126,Schmidt A/S,"Sigurdsgade 5
6752 Stubbekøbing",Denmark
127,Ravn & Kristiansen ApS,"Degneæblegade 510
4498 Dronningmølle",Denmark
128,Johansen & Søn A/S,"Rantzausgade 7
5892 Hejls",Denmark
129,Kjær & Clausen ApS,"Amagermotorenvej 2
5345 Aakirkeby",Denmark
130,Pedersen & Ravn ApS,"Skippingegade 9
2691 Skibby",Denmark
131,Jespersen & Søn ApS,"Lindenovs Allé 48
5849 Hovborg",Denmark
132,Bach A/S,"Gyvelvej 868
4221 Karise",Denmark
133,Gregersen & Poulsen A/S,"Stampes Allé 382
3168 Mern",Denmark
134,Krogh ApS,"Toftøjegade 69
9358 Eskilstrup",Denmark
135,Koch & Søn A/S,"Spartagade 613
4350 Gadbjerg",Denmark
136,Jespersen & Søn ApS,"Tyrolsvej 456
4248 Nexø",Denmark
137,Krogh & Thorsen ApS,"Rigensgade 1
1073 Broager",Denmark
138,Thorsen & Søn ApS,"Edelsmindestræde 1
2392 Langebæk",Denmark
139,Nørgaard ApS,"Nørretoftevej 76
9828 Løgumkloster",Denmark
140,Holm A/S,"Rosenvængets Hovedgade 3
6255 København",Denmark
141,Sørensen & Søn A/S,"Bangertsstræde 630
3489 Kirke Hyllinge",Denmark
142,Steffensen & Kristiansen A/S,"Urbansvej 1
8960 Ryomgård",Denmark
143,Friis ApS,"Floras Allé 5
1709 Frederikssund",Denmark
144,Svendsen & Jepsen ApS,"Brydesgade 645
6784 Gudbjerg",Denmark
145,Thomsen & Søn ApS,"Store Søndervoldstræde 15
5474 Hejls",Denmark
146,Sørensen ApS,"Bomhusvej 69
7395 Dybvad",Denmark
