order_id;customer_id;orderdate;employee_id
1;67;2023-01-12;5
2;185;2021-06-10;2
3;102;2022-03-30;7
4;130;2021-04-29;9
5;138;2022-04-11;7
6;194;2022-03-21;5
7;83;2020-09-19;9
8;14;2021-06-12;9
9;36;2022-11-19;5
10;187;2021-06-24;1
11;159;2021-10-23;4
12;88;2022-03-29;10
13;115;2020-06-05;7
14;180;2021-11-01;5
15;194;2021-03-14;10
16;50;2020-11-11;10
17;19;2022-01-27;9
18;43;2022-01-16;5
19;90;2021-08-05;3
20;144;2021-05-09;6
21;143;2020-10-06;10
22;48;2021-02-03;2
23;77;2022-11-17;8
24;176;2021-06-17;1
25;43;2021-08-27;6
26;177;2022-04-17;3
27;174;2020-08-02;6
28;62;2022-06-27;1
29;42;2021-08-05;6
30;110;2022-10-23;9
31;74;2020-08-31;2
32;32;2021-08-20;5
33;112;2022-09-24;3
34;16;2022-12-05;6
35;63;2021-08-10;1
36;7;2020-05-01;8
37;33;2021-04-01;5
38;44;2020-07-27;3
39;138;2022-01-02;2
40;189;2021-10-15;7
41;176;2022-10-13;1
42;18;2022-03-03;7
43;25;2023-04-08;6
44;116;2022-06-12;6
45;181;2020-07-13;8
46;76;2021-03-26;8
47;88;2020-12-10;2
48;85;2021-07-20;10
49;181;2021-09-01;3
50;191;2023-04-01;9
51;99;2022-05-25;4
52;125;2020-11-20;7
53;50;2023-02-23;9
54;88;2021-07-10;1
55;5;2022-03-15;6
56;177;2022-03-27;1
57;178;2020-08-17;7
58;104;2020-07-06;3
59;74;2021-02-01;6
60;127;2020-05-28;3
61;158;2022-07-01;7
62;120;2021-03-21;3
63;169;2023-04-05;8
64;54;2021-10-25;4
65;8;2022-01-09;8
66;24;2020-06-04;1
67;168;2020-11-19;6
68;130;2022-01-08;6
69;33;2021-02-04;8
70;130;2022-04-23;3
71;183;2022-07-06;6
72;122;2020-06-29;1
73;8;2022-09-24;5
74;96;2022-08-29;4
75;33;2021-11-19;10
76;136;2022-11-26;8
77;26;2022-01-25;2
78;69;2020-11-07;5
79;0;2021-04-29;2
80;171;2023-02-08;2
81;139;2023-01-24;3
82;93;2022-04-28;6
83;178;2022-05-22;7
84;38;2020-06-17;1
85;64;2020-12-24;6
86;40;2021-01-29;6
87;69;2020-07-18;4
88;30;2022-12-16;7
89;38;2021-06-27;5
90;51;2021-08-22;7
91;104;2023-03-28;5
92;193;2022-03-06;4
93;187;2021-10-10;10
94;95;2022-08-07;2
95;137;2023-04-07;5
96;45;2020-10-22;1
97;80;2021-05-14;6
98;177;2023-01-12;3
99;67;2021-08-12;9
100;185;2022-10-15;9
101;164;2021-10-15;4
102;48;2020-12-14;2
103;128;2020-10-16;4
104;162;2022-09-12;10
105;115;2022-02-05;2
106;55;2022-05-19;5
107;81;2021-12-14;5
108;1;2022-04-03;7
109;19;2020-06-28;4
110;174;2022-11-10;4
111;94;2022-05-31;3
112;55;2020-06-25;8
113;163;2022-05-04;1
114;136;2022-05-27;9
115;165;2022-03-27;7
116;64;2022-09-12;7
117;101;2022-12-25;1
118;7;2022-02-27;6
119;113;2021-09-29;3
120;121;2020-07-22;5
121;181;2021-06-03;5
122;93;2022-07-22;7
123;165;2020-07-05;1
124;121;2023-04-09;2
125;100;2022-10-07;10
126;117;2022-12-13;5
127;74;2021-08-12;5
128;83;2020-11-21;5
129;32;2023-03-12;6
130;39;2020-06-06;5
131;11;2021-09-27;9
132;26;2020-08-29;8
133;18;2021-02-27;6
134;166;2021-02-07;5
135;156;2021-04-12;2
136;32;2022-09-16;10
137;108;2022-05-19;5
138;175;2022-01-25;10
139;168;2020-11-24;4
140;125;2022-06-05;2
141;198;2021-11-25;5
142;85;2022-06-22;5
143;190;2021-06-17;6
144;111;2020-12-08;6
145;59;2022-12-17;8
146;110;2023-02-10;1
147;31;2020-06-29;7
148;42;2020-04-22;10
149;91;2021-08-26;4
150;47;2021-05-03;2
151;193;2022-04-19;5
152;37;2020-07-01;7
153;181;2022-07-16;1
154;10;2021-01-10;2
155;61;2020-07-16;7
156;30;2022-11-23;7
157;157;2020-09-06;10
158;12;2022-08-11;10
159;0;2022-04-01;7
160;73;2020-07-03;9
161;164;2022-08-28;9
162;58;2020-06-17;6
163;116;2021-06-20;10
164;31;2021-12-28;1
165;153;2021-01-21;7
166;133;2021-10-19;10
167;51;2021-03-09;7
168;73;2021-03-20;8
169;158;2021-11-05;10
170;146;2022-03-16;6
171;196;2021-01-10;6
172;136;2021-08-23;3
173;135;2022-11-16;9
174;5;2021-04-22;3
175;28;2020-11-06;10
176;4;2022-10-07;7
177;180;2021-02-11;2
178;88;2023-03-05;9
179;87;2021-11-11;10
180;46;2021-04-11;1
181;170;2021-04-27;7
182;89;2020-06-22;2
183;7;2022-11-06;8
184;124;2021-04-03;3
185;95;2023-01-04;3
186;169;2022-01-10;5
187;162;2020-07-04;3
188;32;2022-10-27;1
189;62;2020-08-08;3
190;2;2021-11-23;2
191;158;2021-11-04;2
192;141;2022-10-02;1
193;88;2022-12-18;8
194;165;2022-01-09;2
