order_id;product_id;quantity
10012;14;99
11882;11;73
10353;3;41
12746;3;73
12222;9;3
12260;18;96
12814;1;58
11374;12;91
14831;14;44
14329;13;35
12651;8;20
12151;19;19
13212;9;36
12078;13;31
10898;4;97
10761;17;80
10423;17;88
13242;2;29
13301;17;40
13187;9;23
10334;2;63
12098;20;72
14160;12;78
14841;6;88
11779;17;67
12026;11;4
13099;18;21
13727;14;83
10312;11;12
10233;17;47
11455;14;90
14745;13;28
14772;15;13
10398;6;19
12589;16;35
11981;6;24
12817;13;3
14544;14;68
10921;1;76
11603;19;87
12126;15;84
11547;18;44
10480;9;48
14037;1;72
11561;11;19
12807;2;93
12089;4;60
14355;3;22
12015;2;52
12883;20;66
14357;17;53
13390;19;6
11258;1;69
13789;14;12
12816;19;1
13920;16;23
14664;20;28
10820;13;59
11908;14;47
10727;19;32
12733;2;23
11092;11;35
14041;17;6
10984;17;52
10971;7;37
13675;8;46
13919;17;72
10833;16;63
14195;19;69
10705;13;33
12508;4;21
12473;18;44
14558;8;37
10114;20;62
10653;18;31
14696;10;86
14292;12;45
11314;10;99
10645;16;38
10559;19;66
11181;13;98
14415;1;72
12885;16;78
13785;1;82
11550;10;83
14628;16;98
11778;9;37
11464;20;40
14299;14;4
13969;14;83
13584;12;61
10504;15;79
14710;4;48
10967;5;48
13933;13;75
11624;20;29
12644;14;6
14914;5;66
10735;3;16
14257;17;67
13160;9;86
13092;18;53
14517;13;11
11750;18;10
11179;10;70
12834;3;68
11750;10;5
11016;20;16
10848;7;67
14772;17;44
12984;20;40
10842;11;4
11306;14;10
13775;6;16
10314;14;35
14440;15;90
13447;3;8
14104;2;85
11992;20;22
12935;4;6
10527;19;58
11413;1;78
13557;9;42
14756;2;25
11335;9;44
11983;4;51
10851;7;86
11453;13;62
12203;13;91
13545;14;61
12050;13;67
13273;4;78
11150;7;47
13443;20;48
14373;19;54
11205;6;46
11772;19;36
11696;3;63
10332;18;84
13217;7;83
12882;14;25
14751;5;30
12225;13;62
11761;1;62
13213;15;37
10413;9;32
14226;13;45
14313;11;1
11879;5;63
10472;18;37
10386;10;18
11342;8;58
14759;15;13
12398;15;4
14789;14;12
13214;10;64
14868;7;51
11021;3;25
12209;10;14
10542;2;37
10401;4;93
14186;20;95
10406;19;61
10762;4;9
11881;2;1
11189;8;2
13325;1;65
12184;4;76
10179;9;67
10002;17;45
14184;8;58
10962;7;13
12590;5;19
10723;10;36
10380;4;29
14405;11;53
13030;6;57
14576;11;50
13269;11;40
10232;18;27
10577;1;52
12183;14;72
12683;6;90
14636;14;67
12606;6;32
12839;14;92
14206;12;41
11100;8;23
13062;19;29
14074;5;16
14597;20;7
10765;7;40
14017;2;11
13444;15;33
14147;17;78
14736;13;11
11098;20;53
10626;2;3
10115;13;61
11503;4;49
14433;19;2
10498;5;77
14953;13;100
14402;9;86
14768;16;66
12213;3;3
14524;6;82
11725;11;17
10651;12;90
13603;8;40
13564;20;46
12823;15;82
11355;5;78
13467;15;59
13304;10;24
14322;20;5
11937;7;34
13219;8;92
10893;20;60
11881;3;61
11353;6;6
14460;13;59
12536;4;58
10801;2;81
13565;1;89
11187;17;20
11776;6;48
13143;6;52
11312;5;12
14028;18;25
14683;8;33
10061;1;3
13974;7;41
12108;2;52
13588;2;87
12964;8;71
13840;5;58
14693;14;13
11331;15;23
11972;11;41
14201;6;65
11294;2;73
11256;20;85
12154;16;24
12755;4;74
12051;16;46
11160;2;2
14886;3;81
12873;17;65
13464;1;84
13505;7;98
14989;4;26
13837;4;6
13981;14;3
12111;2;92
10769;2;95
13559;7;6
12686;14;45
11444;15;62
11541;10;83
14634;8;24
10628;10;58
12796;18;56
10570;15;11
12551;20;17
11633;18;29
14817;1;48
10140;13;15
10274;2;65
13829;3;8
13727;3;12
14196;4;42
11179;17;73
10255;9;25
11968;3;98
12247;12;58
12060;2;43
14032;19;46
13234;9;18
13367;10;27
10873;10;56
11821;2;48
14865;18;58
11666;4;19
14347;19;9
12490;1;100
10277;7;20
10970;19;65
14359;5;34
13809;12;35
11659;10;40
10720;14;8
10491;2;66
10328;12;79
11375;13;32
10055;9;6
11911;10;95
14687;1;53
10651;20;47
10835;9;84
14552;19;88
10128;15;92
13950;15;8
13860;17;26
13067;12;96
14234;17;61
14214;6;73
10299;10;75
14892;7;22
13155;10;54
10096;1;35
11973;2;39
12386;3;43
12355;5;70
14110;15;19
10779;11;62
13517;10;53
11427;19;27
12692;14;1
12111;1;9
13297;10;61
10309;1;36
14215;4;85
11874;5;82
12595;7;29
14630;16;34
12536;11;36
11836;14;89
10115;6;57
13172;5;64
13189;18;23
10697;10;50
14987;12;49
12619;18;44
11346;9;69
10747;4;67
13177;3;56
10318;3;62
11105;9;4
14707;2;58
14161;17;64
14853;6;47
12870;8;19
12802;10;38
10853;16;77
11108;17;35
14270;6;11
10544;3;90
11677;12;82
12019;1;58
11056;15;70
14461;18;19
13338;12;20
13446;12;3
12545;16;70
14900;10;33
13517;4;64
10249;17;36
11638;14;26
11546;15;18
11887;18;60
12246;15;33
10610;13;96
13121;10;26
11432;13;25
14972;11;22
10944;19;27
14310;13;72
12528;16;92
10225;3;75
12498;5;97
11391;1;93
11895;18;84
13908;13;24
12949;19;6
14564;14;99
12232;15;79
13315;9;70
12927;5;48
13020;11;34
11366;16;49
10529;20;83
10983;10;20
14613;18;43
10085;19;86
13713;13;42
12047;20;40
12884;7;63
10438;2;41
10430;3;72
10507;1;72
13474;12;86
12043;18;27
10915;13;92
10062;5;22
11206;5;61
11211;5;53
13886;15;32
14502;5;9
10009;14;43
14211;4;84
13743;2;72
12374;20;86
10125;13;77
11696;13;85
12484;16;47
11012;6;49
11858;18;22
10120;2;15
13920;10;45
10066;20;91
13962;5;13
11035;16;81
10534;2;18
11653;18;73
14884;20;23
11836;5;43
14416;11;73
11893;5;16
11777;6;80
14804;14;44
12212;9;36
10591;5;90
14281;17;55
12615;3;50
10906;6;47
13182;3;7
10623;11;39
11033;12;54
10797;19;10
10115;4;26
12723;14;52
14285;10;22
10244;16;30
11326;19;78
10802;16;41
14812;1;9
14207;19;54
14646;12;57
14641;6;24
10313;11;52
14542;6;47
12609;6;91
12928;9;46
10034;18;28
11637;9;83
10131;5;37
11932;4;65
14900;15;93
14986;4;13
13384;3;86
12559;7;55
13502;18;6
14220;14;22
13440;19;12
12303;18;35
10063;20;21
11241;14;4
10616;11;94
13722;1;41
10002;15;90
12286;19;21
14125;1;11
12002;17;5
13609;6;13
13988;20;85
14298;17;71
12339;20;40
10073;18;7
13969;11;99
14413;13;80
11445;9;30
14763;19;25
14649;2;66
11782;8;15
13493;19;17
13946;5;49
13289;17;98
10081;2;100
11931;9;28
10244;18;56
13307;10;54
13757;17;81
10082;11;96
10421;15;63
10775;17;77
11859;5;78
14369;8;58
12596;10;19
14436;15;17
14422;10;16
11259;10;82
13066;13;15
10643;16;5
13883;5;60
11181;19;17
13878;20;47
12894;17;36
11995;4;28
13152;8;12
10439;12;58
10998;3;23
10626;3;47
10763;12;73
13012;5;89
11402;3;34
11152;19;35
14313;10;24
11811;14;87
10995;3;51
11302;12;68
12409;6;97
14066;5;85
14373;15;6
14935;18;12
14659;12;39
10114;8;94
14503;12;55
12021;6;2
12594;16;14
14678;17;35
14262;19;2
14094;1;100
13444;11;54
12689;1;4
13712;15;63
12764;16;64
12578;10;44
14895;2;64
10471;18;57
10403;15;79
11220;1;38
11341;3;84
12891;6;79
11389;3;45
11599;5;80
11086;4;76
11068;7;75
10570;11;61
13334;16;82
11453;1;83
12887;1;43
12551;1;34
10375;10;100
11173;17;45
10546;19;72
12699;1;56
13378;18;59
14472;10;84
11419;17;100
14601;17;74
12556;10;76
14938;9;44
13722;12;9
12802;15;47
13501;16;6
14915;18;7
14815;11;16
10630;1;58
11454;3;7
12477;9;67
12292;2;75
11415;19;91
10635;16;68
14794;5;82
11648;9;33
10856;7;16
12036;8;44
14099;3;64
14519;8;94
10028;16;62
12298;9;36
14595;1;50
13497;2;88
13308;15;93
13812;11;93
14174;16;95
11078;4;4
11718;16;55
12245;10;8
12101;16;85
12480;4;6
14478;3;86
11501;8;89
11357;8;95
10114;15;83
14740;4;85
12973;20;64
12905;12;92
14075;17;81
12584;12;58
13958;9;27
13002;12;64
11787;3;89
10014;13;62
14877;11;53
10440;11;77
10383;4;34
14307;2;20
10931;5;11
12076;15;15
11023;1;68
12560;11;75
13985;9;93
12803;1;55
10323;16;90
13691;13;79
10217;2;7
12392;14;20
11172;1;81
10603;2;62
11358;7;43
12765;2;85
13610;19;96
14840;2;18
10870;14;59
14482;13;49
12965;1;11
11213;16;35
13011;3;99
10211;12;49
11519;8;30
13680;18;58
12456;5;2
10689;1;87
10279;13;94
14761;6;63
13093;8;23
13331;16;74
14700;10;70
11227;17;99
11199;11;59
11355;4;40
13036;13;99
14889;18;9
12807;18;9
11656;11;53
13934;2;14
10269;13;97
10737;17;92
14742;2;42
12500;15;17
13383;5;69
13651;19;3
14691;17;4
11131;18;6
13425;11;33
10589;5;52
10681;1;9
14752;19;13
13707;15;69
12458;9;77
10081;8;5
13156;7;82
13658;4;57
13065;4;98
14672;1;71
10552;13;65
11095;15;47
13983;2;35
13260;5;56
13307;18;90
12747;2;7
14398;18;26
13757;11;83
14517;13;53
12183;20;86
13270;5;77
14814;2;9
10416;15;91
10359;11;80
14161;10;36
10442;12;99
14300;12;93
14151;2;56
13208;15;48
14818;19;63
14249;11;32
13328;20;20
14177;6;30
13165;9;41
13690;9;65
11708;7;85
14650;20;48
12725;20;60
12762;10;69
10891;9;16
11860;9;97
10261;9;35
11293;8;11
14199;8;29
12401;3;3
10890;4;47
11881;17;94
14339;12;32
14864;12;66
10324;8;41
12657;2;72
10301;20;26
12274;17;87
11082;10;27
14227;14;22
14801;11;22
12627;17;54
13462;13;69
12070;2;72
12183;3;26
13216;15;46
12656;9;26
12546;11;85
13247;3;93
13053;16;96
10799;16;89
14624;13;63
14614;5;88
10313;17;5
13413;7;42
13067;13;35
12343;9;10
13169;10;74
14352;4;75
14639;5;37
14076;17;92
11009;18;48
13169;6;48
14138;14;67
10794;11;88
11205;12;77
14165;12;18
12411;3;99
13645;3;12
11069;10;50
12751;2;96
14035;19;15
13782;14;52
14313;19;17
13775;16;5
14098;2;46
14315;6;48
12124;2;95
12027;17;75
14661;19;22
10985;10;73
12976;2;57
10737;10;71
14770;4;33
13303;14;43
13785;18;23
11950;4;19
12006;15;39
14232;14;52
12737;7;74
14957;4;39
14096;16;55
12913;12;28
10087;20;72
10768;14;83
11719;11;58
13377;12;87
10978;20;64
11043;17;79
11618;7;85
10830;5;87
11621;12;7
10140;2;89
10965;13;11
11382;19;69
10215;18;33
10309;4;80
11035;16;12
10926;1;49
12694;20;88
12487;19;40
13752;5;22
13201;3;31
12430;2;50
12005;4;85
10728;16;5
14471;19;62
10080;7;13
13838;2;83
12713;18;95
10486;13;6
12241;6;59
13211;15;68
13441;20;70
11068;19;53
10704;6;74
10558;5;96
12147;6;74
12384;7;91
12540;16;7
11712;1;86
12022;14;25
13298;7;12
13950;16;83
13300;8;54
12594;15;21
13681;10;18
12365;7;17
13815;7;7
10449;18;41
13782;8;77
12344;19;92
11721;15;37
13260;9;91
13950;7;64
14358;14;61
10944;13;80
11803;19;59
11946;2;86
10533;1;64
11172;5;36
14151;14;5
12701;10;9
14952;12;42
10262;20;50
11684;13;87
11025;12;91
11524;3;7
12223;5;41
13449;4;49
10383;4;41
14502;6;54
13010;17;90
10449;16;75
13271;16;72
11584;14;46
12263;10;89
14052;7;79
12737;7;97
14789;17;77
12105;1;100
10718;4;44
10537;17;11
12621;9;99
10964;10;33
14821;9;56
11292;15;76
10517;9;84
14423;18;27
14372;11;44
13502;13;15
12123;4;71
13308;7;36
14030;19;71
11408;13;74
13497;6;96
14262;19;99
13085;20;39
11299;12;10
14939;8;79
10882;1;61
13850;9;89
10464;18;72
13784;3;51
12475;17;40
13293;17;89
13108;7;17
12126;16;63
14363;7;90
13604;6;9
12997;12;54
12099;14;5
10645;3;66
14928;11;28
10783;20;62
13875;14;14
13067;3;3
12272;14;86
11594;14;50
13947;11;66
12027;8;13
14005;16;72
13720;18;33
12871;9;60
11840;20;61
14433;18;91
13171;12;86
10967;11;8
14106;2;69
14236;5;56
13136;5;24
10906;13;87
10212;1;77
14632;16;2
11654;13;62
11937;13;74
11295;3;37
10326;2;59
11603;19;33
12130;20;61
10187;8;79
13021;2;89
14519;9;60
13823;16;9
11562;4;30
10412;19;86
11972;4;40
13658;11;69
10245;15;67
10686;5;2
10707;4;5
12903;18;45
10433;18;56
14433;9;27
12428;17;41
14254;8;96
11536;8;32
13270;11;1
14511;15;34
13275;19;38
13978;15;89
12580;14;73
10981;20;61
13171;10;44
10258;19;10
13981;14;90
14353;15;58
11848;10;62
14300;19;38
14556;11;45
10343;4;40
10814;15;100
12556;16;70
11072;12;34
12074;14;39
12156;15;42
11894;20;73
11076;4;38
13704;16;52
11061;5;56
12037;8;79
11159;8;60
14948;13;29
12757;7;58
12566;11;88
11575;18;52
11343;18;64
11336;5;88
13261;13;6
11097;2;11
14988;15;27
11727;20;32
14670;10;24
13342;15;79
14994;13;57
11221;17;60
10253;20;95
11025;10;53
14271;19;37
14852;17;29
13262;7;10
12877;12;98
