order_id;customer_id;orderdate;employee_id;deliverydate
1;38;21-03-2022;8;24-03-2022
2;23;06-08-2020;10;09-08-2020
3;34;20-06-2022;5;23-06-2022
4;12;13-11-2019;6;16-11-2019
5;15;20-05-2020;6;23-05-2020
6;19;26-04-2020;9;29-04-2020
7;12;29-10-2021;8;01-11-2021
8;2;04-11-2019;5;07-11-2019
9;33;05-01-2021;3;08-01-2021
10;28;16-06-2021;4;19-06-2021
11;4;19-03-2022;5;22-03-2022
12;4;03-12-2020;5;06-12-2020
13;22;30-12-2019;8;02-01-2020
14;17;07-01-2021;7;10-01-2021
15;42;23-04-2022;5;26-04-2022
16;12;03-12-2020;6;06-12-2020
17;8;04-02-2021;1;07-02-2021
18;26;09-07-2022;4;12-07-2022
19;34;03-06-2022;8;06-06-2022
20;40;14-06-2021;3;17-06-2021
21;6;09-10-2021;3;12-10-2021
22;6;09-06-2021;3;12-06-2021
23;3;08-03-2022;6;11-03-2022
24;5;08-02-2021;6;11-02-2021
25;10;28-09-2021;3;01-10-2021
26;37;22-11-2021;4;25-11-2021
27;22;27-05-2021;2;30-05-2021
28;38;07-12-2019;5;10-12-2019
29;5;08-08-2020;3;11-08-2020
30;11;18-05-2020;9;21-05-2020
31;49;04-04-2022;1;07-04-2022
32;44;31-05-2021;2;03-06-2021
33;34;25-12-2020;5;28-12-2020
34;47;27-01-2021;6;30-01-2021
35;13;10-08-2021;4;13-08-2021
36;6;08-05-2021;8;11-05-2021
37;36;02-03-2021;4;05-03-2021
38;20;20-11-2021;1;23-11-2021
39;11;28-09-2019;5;01-10-2019
40;20;19-04-2021;8;22-04-2021
41;41;23-06-2021;3;26-06-2021
42;50;13-07-2022;5;16-07-2022
43;12;27-09-2021;7;30-09-2021
44;15;13-01-2022;3;16-01-2022
45;5;28-03-2022;1;31-03-2022
46;25;14-05-2021;10;17-05-2021
47;27;18-05-2020;7;21-05-2020
48;9;08-06-2021;5;11-06-2021
49;13;19-10-2019;8;22-10-2019
50;48;02-12-2020;3;05-12-2020
51;7;23-04-2022;4;26-04-2022
52;7;30-01-2021;10;02-02-2021
53;29;01-04-2022;9;04-04-2022
54;46;05-02-2021;3;08-02-2021
55;42;29-05-2021;6;01-06-2021
56;24;17-04-2020;10;20-04-2020
57;47;14-08-2021;10;17-08-2021
58;10;31-05-2021;10;03-06-2021
59;13;28-08-2022;10;31-08-2022
60;5;24-08-2020;10;27-08-2020
61;48;29-12-2020;10;01-01-2021
62;9;07-07-2022;1;10-07-2022
63;43;15-02-2021;6;18-02-2021
64;37;24-04-2021;1;27-04-2021
65;40;25-08-2022;8;28-08-2022
66;43;05-11-2021;9;08-11-2021
67;23;23-03-2021;4;26-03-2021
68;24;15-09-2021;4;18-09-2021
69;43;04-07-2021;5;07-07-2021
70;34;23-09-2021;1;26-09-2021
71;43;26-09-2021;6;29-09-2021
72;16;10-02-2022;3;13-02-2022
73;1;23-07-2020;8;26-07-2020
74;10;08-11-2021;9;11-11-2021
75;2;28-07-2021;5;31-07-2021
76;47;01-03-2021;6;04-03-2021
77;22;19-01-2020;6;22-01-2020
78;17;09-07-2021;6;12-07-2021
79;44;18-03-2020;2;21-03-2020
80;14;31-01-2020;9;03-02-2020
81;23;16-02-2020;4;19-02-2020
82;12;28-11-2021;10;01-12-2021
83;18;13-03-2022;6;16-03-2022
84;34;16-07-2020;5;19-07-2020
85;10;20-02-2021;4;23-02-2021
86;42;04-07-2020;4;07-07-2020
87;31;07-03-2021;7;10-03-2021
88;39;28-06-2020;7;01-07-2020
89;27;21-01-2022;4;24-01-2022
90;47;30-01-2022;4;02-02-2022
91;3;02-05-2022;10;05-05-2022
92;39;25-02-2020;6;28-02-2020
93;29;04-02-2020;9;07-02-2020
94;14;05-08-2022;10;08-08-2022
95;24;04-02-2022;7;07-02-2022
96;44;23-03-2021;9;26-03-2021
97;30;01-09-2021;10;04-09-2021
98;1;12-11-2020;1;15-11-2020
99;39;16-01-2022;4;19-01-2022
100;14;23-06-2022;4;26-06-2022
101;27;29-11-2021;6;02-12-2021
102;8;19-12-2019;4;22-12-2019
103;34;09-12-2019;6;12-12-2019
104;31;05-05-2021;2;08-05-2021
105;17;21-05-2022;3;24-05-2022
106;23;20-03-2020;2;23-03-2020
107;47;19-09-2021;4;22-09-2021
108;32;16-04-2022;4;19-04-2022
109;29;15-03-2022;1;18-03-2022
110;17;16-03-2021;9;19-03-2021
111;32;20-10-2019;10;23-10-2019
112;31;29-05-2021;8;01-06-2021
113;44;13-08-2022;1;16-08-2022
114;4;21-02-2021;8;24-02-2021
115;3;13-02-2022;6;16-02-2022
116;39;20-01-2022;3;23-01-2022
117;16;27-05-2020;7;30-05-2020
118;30;16-02-2021;10;19-02-2021
119;42;15-12-2019;8;18-12-2019
120;1;14-05-2020;2;17-05-2020
121;8;10-11-2021;1;13-11-2021
122;16;14-10-2020;6;17-10-2020
123;3;08-10-2020;5;11-10-2020
124;35;06-07-2020;3;09-07-2020
125;39;09-03-2021;7;12-03-2021
126;29;21-06-2022;6;24-06-2022
127;33;04-03-2022;4;07-03-2022
128;34;13-04-2022;9;16-04-2022
129;46;01-01-2022;3;04-01-2022
130;4;07-05-2020;1;10-05-2020
131;11;08-10-2020;10;11-10-2020
132;23;26-07-2020;8;29-07-2020
133;34;24-09-2020;2;27-09-2020
134;42;07-01-2022;4;10-01-2022
135;18;10-02-2021;9;13-02-2021
136;44;12-07-2021;1;15-07-2021
137;5;30-05-2022;9;02-06-2022
138;24;29-10-2019;2;01-11-2019
139;26;18-05-2020;3;21-05-2020
140;16;12-02-2020;2;15-02-2020
141;45;09-11-2020;1;12-11-2020
142;31;02-03-2021;3;05-03-2021
143;12;28-11-2021;1;01-12-2021
144;5;23-04-2020;4;26-04-2020
145;36;14-08-2021;10;17-08-2021
146;28;18-01-2021;7;21-01-2021
147;38;25-02-2020;7;28-02-2020
148;37;29-03-2021;9;01-04-2021
149;9;11-08-2021;6;14-08-2021
150;26;27-05-2022;5;30-05-2022
151;3;20-08-2022;6;23-08-2022
152;40;23-12-2020;5;26-12-2020
153;19;12-09-2021;8;15-09-2021
154;7;13-02-2021;1;16-02-2021
155;40;23-11-2019;5;26-11-2019
156;11;28-01-2020;4;31-01-2020
157;48;02-02-2020;3;05-02-2020
158;34;24-12-2021;2;27-12-2021
159;32;16-09-2020;7;19-09-2020
160;39;29-11-2020;3;02-12-2020
161;46;15-10-2019;10;18-10-2019
162;5;11-05-2020;8;14-05-2020
163;15;29-09-2019;9;02-10-2019
164;2;11-08-2022;9;14-08-2022
165;9;02-04-2021;6;05-04-2021
166;47;04-06-2022;3;07-06-2022
167;45;09-04-2022;4;12-04-2022
168;31;02-06-2022;2;05-06-2022
169;37;13-02-2022;5;16-02-2022
170;29;29-04-2020;3;02-05-2020
171;42;17-01-2020;10;20-01-2020
172;37;30-08-2020;1;02-09-2020
173;22;22-07-2022;3;25-07-2022
174;45;13-07-2022;2;16-07-2022
175;2;21-01-2022;8;24-01-2022
176;34;18-03-2020;8;21-03-2020
177;27;21-08-2022;6;24-08-2022
178;29;10-05-2020;10;13-05-2020
179;46;13-04-2022;5;16-04-2022
180;17;12-11-2020;5;15-11-2020
181;37;19-03-2020;7;22-03-2020
182;1;09-10-2019;5;12-10-2019
183;7;02-08-2020;2;05-08-2020
184;11;13-06-2022;4;16-06-2022
185;3;04-08-2020;3;07-08-2020
186;32;20-01-2022;2;23-01-2022
187;5;11-06-2022;3;14-06-2022
188;31;19-08-2022;3;22-08-2022
189;45;29-11-2020;4;02-12-2020
190;20;18-08-2021;6;21-08-2021
191;44;30-10-2021;5;02-11-2021
192;37;09-06-2022;2;12-06-2022
193;32;23-10-2019;6;26-10-2019
194;49;26-11-2019;10;29-11-2019
195;16;16-03-2020;9;19-03-2020
196;18;12-05-2020;2;15-05-2020
197;23;16-09-2019;5;19-09-2019
198;29;21-05-2020;4;24-05-2020
199;14;06-04-2020;10;09-04-2020
200;10;10-11-2019;6;13-11-2019
201;48;08-02-2021;9;11-02-2021
