order_id;product_id;quantity
1;17;36
1;8;24
2;16;12
3;3;63
3;10;3
3;12;93
3;7;64
4;2;37
4;9;83
4;5;56
5;11;18
5;1;96
6;3;34
6;3;9
6;17;45
6;8;17
7;4;71
7;8;75
7;9;27
8;18;78
8;19;42
9;1;80
9;11;41
9;8;48
10;19;99
10;13;31
11;8;55
11;18;76
12;10;29
12;2;52
13;5;56
14;17;83
14;19;22
15;20;41
15;19;62
16;12;7
17;14;69
17;17;3
19;4;34
20;8;27
20;16;8
20;1;94
21;20;42
21;10;93
21;4;73
21;1;16
22;11;2
22;14;89
22;17;9
22;10;69
23;7;59
24;19;44
24;8;28
24;10;97
24;11;68
24;4;58
24;3;9
24;20;81
25;20;45
25;16;82
25;12;80
26;17;39
28;13;74
28;19;84
28;7;83
29;8;90
29;20;57
30;11;54
30;9;57
31;1;73
31;20;38
31;3;86
32;16;71
33;8;91
35;17;79
36;8;96
36;19;3
37;16;68
38;2;84
39;7;45
40;17;46
40;2;8
40;3;57
41;10;16
41;16;52
41;1;73
41;9;32
41;19;44
42;7;26
42;9;100
43;20;32
43;16;60
43;4;39
44;7;8
44;8;64
45;14;30
45;15;49
45;18;96
46;8;48
46;8;35
46;15;21
46;1;26
47;3;84
47;17;52
48;1;73
48;16;72
48;1;95
49;12;8
51;4;25
52;2;33
53;13;76
53;12;11
53;8;3
54;1;73
54;4;54
54;11;55
55;3;46
56;2;4
56;9;79
56;13;71
58;17;91
58;15;89
58;2;25
59;20;7
59;3;67
59;7;28
60;1;87
60;13;47
61;3;71
61;18;78
61;5;91
62;18;9
62;10;90
63;9;100
63;18;38
64;4;7
65;8;18
66;14;31
67;18;86
67;1;63
68;4;58
68;12;65
70;8;94
71;13;95
72;8;17
72;15;24
73;12;32
73;3;70
74;3;25
74;4;71
75;17;20
75;14;48
75;14;97
75;11;94
76;2;40
76;11;49
76;17;100
77;19;7
77;12;70
77;17;34
77;12;25
77;3;79
77;6;6
78;19;74
79;6;65
80;2;83
81;16;76
81;15;83
82;6;82
82;19;51
83;9;75
83;15;69
83;19;53
83;12;42
84;3;41
84;17;76
85;19;85
85;5;99
85;14;10
86;3;65
87;20;60
88;2;78
89;12;10
89;18;53
89;2;5
90;14;89
90;18;56
90;7;13
91;17;90
91;16;60
92;7;79
92;17;25
92;15;63
92;1;91
92;12;96
95;20;57
95;6;31
95;11;54
96;4;5
96;8;94
96;20;100
96;16;34
96;18;10
96;4;85
96;11;82
96;13;81
99;6;66
100;1;72
100;7;96
100;8;96
100;10;86
101;15;54
101;12;54
101;10;71
101;16;8
102;12;82
102;14;86
103;3;15
103;4;15
103;6;21
105;11;85
105;8;66
105;7;85
107;2;3
107;2;13
107;14;65
108;14;43
109;17;9
109;2;79
109;15;86
110;15;11
112;17;7
112;6;98
112;14;12
113;19;79
114;3;68
114;8;31
115;6;56
115;1;9
115;8;48
116;10;49
116;13;96
118;17;81
119;10;52
119;8;53
120;10;54
122;19;96
122;13;93
122;16;33
122;4;33
123;7;27
125;3;38
125;8;63
126;7;40
126;11;48
126;5;69
126;7;34
127;1;12
128;12;17
129;14;78
129;18;98
129;12;74
130;19;87
130;6;19
131;3;38
132;6;98
132;1;32
132;14;17
133;10;24
133;15;7
133;1;72
134;13;87
134;18;3
134;13;25
135;8;92
136;10;73
136;19;20
136;5;72
138;11;41
138;9;57
139;7;77
141;15;61
142;4;91
143;19;99
144;2;14
144;13;30
144;4;88
145;16;46
145;20;11
145;8;3
146;10;42
149;2;62
149;3;28
149;9;2
150;14;60
150;4;47
150;6;70
150;13;17
151;20;17
152;17;42
152;1;25
152;3;28
153;18;30
153;13;36
154;16;15
154;12;7
154;14;62
154;9;20
154;4;81
155;6;38
155;20;81
155;15;53
156;3;21
156;8;47
156;17;42
156;10;86
157;15;53
158;9;66
159;6;34
159;13;26
159;4;41
159;4;47
160;13;38
161;9;49
161;18;95
161;13;51
161;7;22
162;5;75
162;2;6
162;3;99
163;17;73
163;7;26
163;11;33
163;6;19
164;9;75
164;6;34
164;13;81
165;14;42
165;1;6
165;9;82
166;5;70
168;16;10
168;5;64
168;5;66
169;15;81
169;3;9
170;15;86
170;14;16
170;17;90
171;10;77
171;18;18
171;3;46
171;6;63
171;4;7
172;3;37
172;7;16
172;10;83
172;11;32
172;8;75
173;7;74
174;5;56
174;17;8
174;3;67
174;12;43
175;14;100
176;8;5
177;5;1
177;3;84
178;10;88
178;4;31
179;16;22
179;19;100
179;6;69
179;14;6
180;9;8
180;19;88
180;9;43
181;7;31
181;9;37
181;18;64
182;19;66
183;8;99
183;4;51
183;1;29
184;10;72
184;3;58
185;6;89
185;4;53
186;16;91
188;12;29
188;12;83
189;3;54
189;11;43
189;4;39
190;1;85
191;9;23
191;18;65
192;16;65
192;1;58
192;2;7
192;9;29
192;2;33
192;9;29
193;18;66
193;18;52
194;15;84
195;16;6
196;9;67
196;16;27
196;10;16
196;17;80
196;7;33
197;15;59
198;4;86
198;14;57
199;20;13
199;2;78
200;9;100
200;8;73
201;3;34
201;6;32
203;10;75
203;20;86
204;14;23
204;13;25
204;17;96
205;16;64
206;13;93
206;17;21
206;16;61
206;19;89
207;8;50
207;10;2
207;7;66
207;19;100
208;4;57
209;9;64
209;4;46
209;8;80
210;9;53
210;12;70
210;17;25
211;6;3
211;17;50
211;10;16
212;5;9
212;11;86
212;12;4
213;10;3
214;19;42
214;9;6
214;17;25
215;15;58
215;16;39
215;14;21
215;2;82
216;5;19
216;14;33
216;5;34
217;3;98
218;19;35
219;7;96
221;1;27
221;20;22
221;5;42
221;4;81
222;17;69
222;18;99
223;6;65
223;5;80
224;20;94
224;4;16
225;6;82
226;12;56
226;11;81
226;6;49
227;13;80
227;5;37
228;4;30
229;6;76
229;8;71
230;16;45
230;10;28
230;7;89
230;8;2
231;1;36
231;3;28
232;4;98
232;12;39
233;18;71
234;16;95
234;14;5
235;3;54
235;20;88
235;3;28
235;7;52
235;17;87
236;18;11
236;12;74
237;13;36
238;17;82
240;11;7
240;13;14
240;8;81
240;15;92
240;1;59
241;18;12
241;5;52
241;12;27
241;17;100
241;16;8
241;15;74
242;3;84
242;12;67
242;12;12
242;5;68
243;4;66
243;11;75
243;19;81
243;18;68
243;9;83
244;18;40
245;19;53
245;16;65
246;9;62
247;19;48
248;13;17
248;12;10
249;16;86
250;4;71
251;13;100
251;1;22
252;15;78
252;2;20
253;20;92
254;18;15
254;8;74
255;6;95
256;10;3
257;10;48
257;18;31
257;13;73
257;17;15
258;19;78
258;13;55
259;8;85
260;6;1
260;9;66
260;6;44
261;14;11
263;7;52
263;15;8
264;4;29
265;4;49
265;15;3
266;15;42
266;3;2
266;5;41
266;15;72
267;14;91
268;14;2
268;10;51
270;6;78
271;8;31
271;17;31
271;20;90
272;16;99
272;1;72
272;3;30
273;20;91
273;18;49
273;13;90
274;16;94
275;11;42
275;9;19
275;6;90
277;16;12
277;19;74
278;11;80
278;17;12
279;20;4
279;19;64
279;15;33
280;11;49
281;7;73
282;16;31
282;11;89
283;6;90
283;19;75
283;19;59
283;19;17
284;6;7
284;14;13
284;4;70
285;1;73
285;20;74
285;7;36
286;18;88
287;6;79
287;16;76
288;2;48
288;7;46
288;5;8
289;19;70
290;8;88
290;3;90
290;17;100
290;11;76
291;12;42
291;12;49
291;12;43
291;3;20
291;4;87
292;5;85
292;6;97
293;13;6
293;1;71
293;17;68
293;19;32
293;11;94
294;18;60
294;4;8
294;16;63
294;19;83
295;15;3
297;13;7
297;17;21
297;10;56
297;14;50
297;13;78
298;6;82
298;9;95
299;1;20
299;5;80
299;8;38
300;6;24
301;16;89
301;20;95
301;10;99
302;20;84
303;10;3
303;20;29
303;17;83
303;16;64
304;5;25
305;2;33
305;14;92
305;19;58
306;5;82
306;11;93
307;6;41
307;15;20
308;10;34
308;11;58
308;13;21
308;18;56
309;16;12
309;14;33
309;14;73
309;15;47
310;19;55
310;7;24
310;4;23
311;6;99
313;7;93
313;7;48
313;1;88
313;11;89
315;11;31
316;18;19
316;14;29
317;13;21
317;1;82
317;20;25
318;16;93
318;2;13
318;20;8
319;3;30
319;11;85
320;7;65
320;2;27
321;13;87
322;3;76
322;5;47
322;18;82
322;1;57
323;8;31
323;6;12
323;15;3
324;2;92
325;4;29
326;18;92
326;3;40
326;6;76
326;18;41
326;18;63
326;5;69
327;9;82
327;20;40
328;10;75
328;13;16
329;11;10
329;6;6
329;14;93
329;16;47
330;19;68
330;15;89
330;16;60
331;12;11
332;17;70
332;14;91
333;9;44
333;6;44
334;18;32
334;17;91
336;14;3
336;6;80
337;9;35
338;7;39
338;6;10
338;18;69
338;6;75
338;9;9
339;18;43
339;1;26
339;17;61
340;20;40
340;9;38
341;20;21
341;17;65
341;9;95
341;6;45
341;4;22
341;19;47
341;6;89
341;12;49
342;4;74
342;7;24
344;20;19
344;13;82
344;10;97
345;17;28
346;4;76
347;2;38
347;6;9
348;19;47
348;6;32
348;1;76
349;1;81
349;17;29
349;7;34
349;1;13
350;14;34
351;5;5
351;1;25
351;10;32
351;18;17
352;8;89
353;8;37
354;20;18
354;9;50
355;1;86
356;14;92
356;17;51
357;15;46
357;4;8
358;4;16
358;13;25
358;20;46
358;3;40
359;2;64
359;8;34
359;19;9
361;6;43
361;17;56
362;6;23
362;3;9
363;1;25
364;11;63
364;11;38
365;7;90
365;11;24
366;12;32
367;10;2
367;4;5
369;20;43
369;18;37
369;5;22
369;5;65
370;8;3
371;15;32
371;4;59
371;19;45
372;13;21
372;9;13
372;8;94
374;14;68
374;14;63
375;16;98
375;5;73
375;18;75
375;9;5
376;9;7
376;15;19
376;5;84
377;4;52
378;16;15
379;10;98
379;11;40
380;16;58
380;16;94
380;15;79
380;20;14
