Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs; gross income ; Rating 
765-26-6951;A;Yangon;Normal;Male;Sports and travel;72,61;6;21,783;457,443;01-01-2019;10:39:00;Credit card;435,66; 21,78 ; 6,90 
530-90-9855;A;Yangon;Member;Male;Home and lifestyle;47,59;8;19,036;399,756;01-01-2019;14:47:00;Cash;380,72; 19,04 ; 5,70 
891-01-7034;B;Mandalay;Normal;Female;Electronic accessories;74,71;6;22,413;470,673;01-01-2019;19:07:00;Cash;448,26; 22,41 ; 6,70 
493-65-6248;C;Naypyitaw;Member;Female;Sports and travel;36,98;10;18,49;388,29;01-01-2019;19:48:00;Credit card;369,8; 18,49 ; 7,00 
556-97-7101;C;Naypyitaw;Normal;Female;Electronic accessories;63,22;2;6,322;132,762;01-01-2019;15:51:00;Cash;126,44; 6,32 ; 8,50 
133-14-7229;C;Naypyitaw;Normal;Male;Health and beauty;62,87;2;6,287;132,027;01-01-2019;11:43:00;Cash;125,74; 6,29 ; 5,00 
651-88-7328;A;Yangon;Normal;Female;Fashion accessories;65,74;9;29,583;621,243;01-01-2019;13:55:00;Cash;591,66; 29,58 ; 7,70 
182-52-7000;A;Yangon;Member;Female;Sports and travel;27,04;4;5,408;113,568;01-01-2019;20:26:00;Ewallet;108,16; 5,41 ; 6,90 
416-17-9926;A;Yangon;Member;Female;Electronic accessories;74,22;10;37,11;779,31;01-01-2019;14:42:00;Credit card;742,2; 37,11 ; 4,30 
271-77-8740;C;Naypyitaw;Member;Female;Sports and travel;29,22;6;8,766;184,086;01-01-2019;11:40:00;Ewallet;175,32; 8,77 ; 5,00 
770-42-8960;B;Mandalay;Normal;Male;Food and beverages;21,12;8;8,448;177,408;01-01-2019;19:31:00;Cash;168,96; 8,45 ; 6,30 
746-04-1077;B;Mandalay;Member;Female;Food and beverages;84,63;10;42,315;888,615;01-01-2019;11:36:00;Credit card;846,3; 42,32 ; 9,00 
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;23,07;9;10,3815;218,0115;02-01-2019;11:27:00;Cash;207,63; 10,38 ; 4,90 
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80,79;9;36,3555;763,4655;02-01-2019;20:31:00;Credit card;727,11; 36,36 ; 9,50 
105-31-1824;A;Yangon;Member;Male;Sports and travel;69,52;7;24,332;510,972;02-01-2019;15:10:00;Credit card;486,64; 24,33 ; 8,50 
870-76-1733;A;Yangon;Member;Female;Food and beverages;14,23;5;3,5575;74,7075;02-01-2019;10:08:00;Credit card;71,15; 3,56 ; 4,40 
358-88-9262;C;Naypyitaw;Member;Female;Food and beverages;87,48;6;26,244;551,124;02-01-2019;18:43:00;Ewallet;524,88; 26,24 ; 5,10 
443-82-0585;A;Yangon;Member;Female;Health and beauty;77,68;4;15,536;326,256;02-01-2019;19:54:00;Cash;310,72; 15,54 ; 8,40 
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78,55;9;35,3475;742,2975;03-01-2019;13:22:00;Cash;706,95; 35,35 ; 7,20 
453-63-6187;B;Mandalay;Normal;Male;Electronic accessories;27,5;3;4,125;86,625;03-01-2019;15:40:00;Ewallet;82,5; 4,13 ; 6,50 
153-58-4872;C;Naypyitaw;Member;Female;Food and beverages;74,89;4;14,978;314,538;03-01-2019;15:32:00;Ewallet;299,56; 14,98 ; 4,20 
220-28-1851;A;Yangon;Normal;Male;Home and lifestyle;34,73;2;3,473;72,933;03-01-2019;18:14:00;Ewallet;69,46; 3,47 ; 9,70 
339-96-8318;B;Mandalay;Member;Male;Fashion accessories;81,31;7;28,4585;597,6285;03-01-2019;19:49:00;Ewallet;569,17; 28,46 ; 6,30 
207-73-1363;B;Mandalay;Normal;Male;Health and beauty;69,51;2;6,951;145,971;03-01-2019;12:15:00;Ewallet;139,02; 6,95 ; 8,10 
470-31-3286;B;Mandalay;Normal;Male;Health and beauty;14,82;3;2,223;46,683;03-01-2019;11:30:00;Credit card;44,46; 2,22 ; 8,70 
811-03-8790;A;Yangon;Normal;Female;Electronic accessories;45,48;10;22,74;477,54;03-01-2019;10:22:00;Credit card;454,8; 22,74 ; 4,80 
247-11-2470;A;Yangon;Member;Female;Fashion accessories;22,32;4;4,464;93,744;03-01-2019;16:23:00;Credit card;89,28; 4,46 ; 4,40 
238-45-6950;B;Mandalay;Member;Male;Food and beverages;53,72;1;2,686;56,406;03-01-2019;20:03:00;Ewallet;53,72; 2,69 ; 6,40 
665-32-9167;A;Yangon;Member;Female;Health and beauty;36,26;2;3,626;76,146;01-10-2019;17:15:00;Credit card;72,52; 3,63 ; 7,20 
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83,78;8;33,512;703,752;01-10-2019;14:49:00;Cash;670,24; 33,51 ; 5,10 
873-51-0671;A;Yangon;Member;Female;Sports and travel;21,98;7;7,693;161,553;01-10-2019;16:42:00;Ewallet;153,86; 7,69 ; 5,10 
744-02-5987;A;Yangon;Member;Male;Home and lifestyle;78,38;6;23,514;493,794;01-10-2019;14:16:00;Ewallet;470,28; 23,51 ; 5,80 
