Dato,Produkt,Kategori,Region,AntalSolgteEnheder
2023-01-01,QuantumX Pro,Hardware,Aalborg,45
2023-01-01,SkyNet Router,Hardware,Aalborg,48
2023-01-01,EcoSmart Thermostat,Hardware,København,1
2023-01-01,Aurora LED Panel,Hardware,Århus,4
2023-01-01,Neptune Water Filter,Tilbehør,Aalborg,4
2023-01-01,SolarFlare Charger,Tilbehør,Århus,40
2023-01-01,GigaStream Modem,Hardware,København,10
2023-01-01,TerraFirma GPS Tracker,Tilbehør,København,20
2023-01-01,LunarLight Projector,Tilbehør,Odense,22
2023-01-01,CyberShield Antivirus,Software,Århus,37
2023-01-02,QuantumX Pro,Hardware,Odense,24
2023-01-02,SkyNet Router,Hardware,Aalborg,7
2023-01-02,EcoSmart Thermostat,Hardware,Århus,25
2023-01-02,Aurora LED Panel,Hardware,Århus,25
2023-01-02,Neptune Water Filter,Tilbehør,Århus,13
2023-01-02,SolarFlare Charger,Tilbehør,København,2
2023-01-02,GigaStream Modem,Hardware,Århus,39
2023-01-02,TerraFirma GPS Tracker,Tilbehør,Århus,40
2023-01-02,LunarLight Projector,Tilbehør,København,24
2023-01-02,CyberShield Antivirus,Software,Odense,47
2023-01-03,QuantumX Pro,Hardware,Odense,25
2023-01-03,SkyNet Router,Hardware,Aalborg,18
2023-01-03,EcoSmart Thermostat,Hardware,Odense,38
2023-01-03,Aurora LED Panel,Hardware,Odense,26
2023-01-03,Neptune Water Filter,Tilbehør,Aalborg,14
2023-01-03,SolarFlare Charger,Tilbehør,Århus,9
2023-01-03,GigaStream Modem,Hardware,Århus,10
2023-01-03,TerraFirma GPS Tracker,Tilbehør,Aalborg,21
2023-01-03,LunarLight Projector,Tilbehør,Århus,17
2023-01-03,CyberShield Antivirus,Software,København,6
2023-01-04,QuantumX Pro,Hardware,Odense,16
2023-01-04,SkyNet Router,Hardware,Aalborg,48
2023-01-04,EcoSmart Thermostat,Hardware,Aalborg,1
2023-01-04,Aurora LED Panel,Hardware,København,19
2023-01-04,Neptune Water Filter,Tilbehør,Aalborg,36
2023-01-04,SolarFlare Charger,Tilbehør,Odense,25
2023-01-04,GigaStream Modem,Hardware,Århus,30
2023-01-04,TerraFirma GPS Tracker,Tilbehør,København,20
2023-01-04,LunarLight Projector,Tilbehør,Århus,20
2023-01-04,CyberShield Antivirus,Software,Odense,15
2023-01-05,QuantumX Pro,Hardware,Aalborg,40
2023-01-05,SkyNet Router,Hardware,Odense,33
2023-01-05,EcoSmart Thermostat,Hardware,Århus,2
2023-01-05,Aurora LED Panel,Hardware,Odense,10
2023-01-05,Neptune Water Filter,Tilbehør,København,33
2023-01-05,SolarFlare Charger,Tilbehør,Odense,32
2023-01-05,GigaStream Modem,Hardware,Odense,11
2023-01-05,TerraFirma GPS Tracker,Tilbehør,Aalborg,24
2023-01-05,LunarLight Projector,Tilbehør,København,36
2023-01-05,CyberShield Antivirus,Software,København,12
2023-01-06,QuantumX Pro,Hardware,Århus,29
2023-01-06,SkyNet Router,Hardware,Odense,35
2023-01-06,EcoSmart Thermostat,Hardware,København,1
2023-01-06,Aurora LED Panel,Hardware,Aalborg,1
2023-01-06,Neptune Water Filter,Tilbehør,Aalborg,37
2023-01-06,SolarFlare Charger,Tilbehør,Odense,6
2023-01-06,GigaStream Modem,Hardware,Odense,39
2023-01-06,TerraFirma GPS Tracker,Tilbehør,Århus,41
2023-01-06,LunarLight Projector,Tilbehør,Aalborg,18
2023-01-06,CyberShield Antivirus,Software,Aalborg,16
2023-01-07,QuantumX Pro,Hardware,København,5
2023-01-07,SkyNet Router,Hardware,Odense,42
2023-01-07,EcoSmart Thermostat,Hardware,Århus,43
2023-01-07,Aurora LED Panel,Hardware,Århus,32
2023-01-07,Neptune Water Filter,Tilbehør,Aalborg,2
2023-01-07,SolarFlare Charger,Tilbehør,København,2
2023-01-07,GigaStream Modem,Hardware,København,40
2023-01-07,TerraFirma GPS Tracker,Tilbehør,Århus,42
2023-01-07,LunarLight Projector,Tilbehør,Århus,36
2023-01-07,CyberShield Antivirus,Software,København,39
2023-01-08,QuantumX Pro,Hardware,København,12
2023-01-08,SkyNet Router,Hardware,København,47
2023-01-08,EcoSmart Thermostat,Hardware,Aalborg,19
2023-01-08,Aurora LED Panel,Hardware,København,28
2023-01-08,Neptune Water Filter,Tilbehør,Århus,1
2023-01-08,SolarFlare Charger,Tilbehør,Odense,15
2023-01-08,GigaStream Modem,Hardware,Odense,36
2023-01-08,TerraFirma GPS Tracker,Tilbehør,Odense,13
2023-01-08,LunarLight Projector,Tilbehør,Aalborg,43
2023-01-08,CyberShield Antivirus,Software,Odense,21
2023-01-09,QuantumX Pro,Hardware,Odense,12
2023-01-09,SkyNet Router,Hardware,Aalborg,5
2023-01-09,EcoSmart Thermostat,Hardware,Aalborg,7
2023-01-09,Aurora LED Panel,Hardware,Aalborg,5
2023-01-09,Neptune Water Filter,Tilbehør,Odense,48
2023-01-09,SolarFlare Charger,Tilbehør,Odense,4
2023-01-09,GigaStream Modem,Hardware,København,13
2023-01-09,TerraFirma GPS Tracker,Tilbehør,Odense,37
2023-01-09,LunarLight Projector,Tilbehør,Aalborg,41
2023-01-09,CyberShield Antivirus,Software,Aalborg,15
2023-01-10,QuantumX Pro,Hardware,Århus,16
2023-01-10,SkyNet Router,Hardware,København,21
2023-01-10,EcoSmart Thermostat,Hardware,Århus,36
2023-01-10,Aurora LED Panel,Hardware,Århus,24
2023-01-10,Neptune Water Filter,Tilbehør,Odense,16
2023-01-10,SolarFlare Charger,Tilbehør,Aalborg,14
2023-01-10,GigaStream Modem,Hardware,Odense,22
2023-01-10,TerraFirma GPS Tracker,Tilbehør,Århus,49
2023-01-10,LunarLight Projector,Tilbehør,København,6
2023-01-10,CyberShield Antivirus,Software,Århus,42
2023-01-11,QuantumX Pro,Hardware,København,36
2023-01-11,SkyNet Router,Hardware,Aalborg,1
2023-01-11,EcoSmart Thermostat,Hardware,Aalborg,32
2023-01-11,Aurora LED Panel,Hardware,Odense,6
2023-01-11,Neptune Water Filter,Tilbehør,Aalborg,31
2023-01-11,SolarFlare Charger,Tilbehør,København,1
2023-01-11,GigaStream Modem,Hardware,København,37
2023-01-11,TerraFirma GPS Tracker,Tilbehør,Aalborg,35
2023-01-11,LunarLight Projector,Tilbehør,København,49
2023-01-11,CyberShield Antivirus,Software,Aalborg,30
2023-01-12,QuantumX Pro,Hardware,Aalborg,4
2023-01-12,SkyNet Router,Hardware,København,35
2023-01-12,EcoSmart Thermostat,Hardware,København,43
2023-01-12,Aurora LED Panel,Hardware,Odense,14
2023-01-12,Neptune Water Filter,Tilbehør,Odense,49
2023-01-12,SolarFlare Charger,Tilbehør,Århus,40
2023-01-12,GigaStream Modem,Hardware,Århus,22
2023-01-12,TerraFirma GPS Tracker,Tilbehør,Århus,10
2023-01-12,LunarLight Projector,Tilbehør,Århus,1
2023-01-12,CyberShield Antivirus,Software,Århus,11
2023-01-13,QuantumX Pro,Hardware,Odense,44
2023-01-13,SkyNet Router,Hardware,Aalborg,24
2023-01-13,EcoSmart Thermostat,Hardware,København,3
2023-01-13,Aurora LED Panel,Hardware,Odense,35
2023-01-13,Neptune Water Filter,Tilbehør,Odense,36
2023-01-13,SolarFlare Charger,Tilbehør,Odense,31
2023-01-13,GigaStream Modem,Hardware,Århus,4
2023-01-13,TerraFirma GPS Tracker,Tilbehør,Odense,19
2023-01-13,LunarLight Projector,Tilbehør,København,47
2023-01-13,CyberShield Antivirus,Software,København,36
2023-01-14,QuantumX Pro,Hardware,Aalborg,21
2023-01-14,SkyNet Router,Hardware,Århus,18
2023-01-14,EcoSmart Thermostat,Hardware,Aalborg,28
2023-01-14,Aurora LED Panel,Hardware,Aalborg,15
2023-01-14,Neptune Water Filter,Tilbehør,Aalborg,42
2023-01-14,SolarFlare Charger,Tilbehør,Odense,2
2023-01-14,GigaStream Modem,Hardware,København,37
2023-01-14,TerraFirma GPS Tracker,Tilbehør,København,11
2023-01-14,LunarLight Projector,Tilbehør,København,23
2023-01-14,CyberShield Antivirus,Software,Odense,44
2023-01-15,QuantumX Pro,Hardware,Aalborg,41
2023-01-15,SkyNet Router,Hardware,Aalborg,12
2023-01-15,EcoSmart Thermostat,Hardware,Århus,3
2023-01-15,Aurora LED Panel,Hardware,Aalborg,17
